index,balance
664,6903.184611743343
665,6834.1527656259095
666,6765.81123796965
667,6698.153125589954
668,6832.116188101752
669,6807.561013641344
670,6834.858659290108
671,6805.232887951841
672,6873.285216831359
673,6804.552364663045
674,6736.506841016415
675,6717.900117174031
676,6682.838386286016
677,6616.010002423156
678,6578.2042309807375
679,6512.42218867093
680,6501.578082190254
681,6478.286988294283
682,6459.788295969328
683,6395.1904130096345
684,6451.277834083967
685,6386.765055743127
686,6322.897405185696
687,6259.668431133839
688,6197.0717468225
689,6135.101029354275
690,6142.318795271162
691,6133.478078637799
692,6134.415919322604
693,6135.5272265543645
694,6116.839793276304
695,6078.065683289637
696,6060.7849083077335
697,6028.911078727152
698,6022.123562943151
699,5961.90232731372
700,6021.521350586857
701,6023.193995406464
702,6024.826297302236
703,6176.5325090226115
704,6141.081785976033
705,6113.412595470002
706,6136.714599465062
707,6075.347453470411
708,6030.425241479805
709,6090.7294938946025
710,6151.636788833549
711,6152.263866997548
712,6222.40899669324
713,6225.3303154710275
714,6163.077012316317
715,7543.606263076574
716,7468.1702004458075
717,7542.851902450266
718,7467.423383425763
719,7392.749149591506
720,7825.181193756288
721,7981.684817631414
722,8141.3185139840425
723,8304.144884263724
724,8221.103435421086
725,8359.348856374905
726,8828.705223314482
727,8770.846379986804
728,8683.137916186935
729,8633.96191398347
730,8580.499371655003
731,8583.897589227936
732,8514.281769066494
733,8707.200305352942
734,8620.128302299412
735,8706.329585322406
736,9127.328989270438
737,9084.29087215021
738,9262.918005797894
739,9918.156428183054
740,10017.337992464885
741,9917.164612540237
742,9877.398167750429
743,9778.624186072924
744,9680.837944212195
745,9584.029564770073
746,9513.607782315894
747,9532.623187070118
748,9533.382153884375
749,9567.49935389148
750,9516.309740560075
751,9552.252637062189
752,9456.730110691567
753,9455.240171749196
754,9457.109852009147
755,9556.369602038149
756,9460.805906017767
757,9366.19784695759
758,9459.859825427166
759,9365.261227172894
760,9365.511467953847
761,9345.370583076527
762,9952.397440377881
763,10151.44538918544
764,10252.959843077293
765,10178.105181147756
766,10178.899105108841
767,10179.688779205435
768,10145.61450714115
769,10044.158362069738
770,9943.716778449041
771,9844.279610664551
772,9805.951472836145
773,9802.293244815755
774,9765.859942489891
775,9888.424761902346
776,10086.193257140394
777,10087.14929441595
778,10288.89228030427
779,10186.003357501228
780,10084.143323926215
781,10285.82619040474
782,10253.476045763678
783,10254.214236983677
784,10356.756379353514
785,11165.711997830611
786,11054.054877852304
787,11090.901727445147
788,11442.512835951597
789,11328.08770759208
790,11214.80683051616
791,11215.256321771893
792,11103.103758554174
793,10992.072720968632
794,10963.646500120552
795,11073.282965121758
796,11073.677312805701
797,11627.096363524193
798,11510.82539988895
799,11662.989780059543
800,11853.29726124093
801,11853.86713130157
802,11812.074651030953
803,11930.195397541262
804,12168.799305492086
805,12118.019513856774
806,12143.423393037028
807,12369.324175825706
808,12245.630934067449
809,12123.174624726775
810,12123.531293588932
811,12244.766606524821
812,12122.318940459572
813,12067.42697349904
814,12051.712522114656
815,12292.74677255695
816,12239.95043709858
817,12487.909711097403
818,12612.788808208377
819,12613.430027771583
820,12487.295727493867
821,12362.42277021893
822,12301.79414870087
823,12248.248640375643
824,12223.30745529895
825,12136.23914465659
826,12014.876753210025
827,11992.74776345518
828,11961.31364724706
829,11952.575540792144
830,11944.755268319357
831,11923.08936377539
832,11954.43100341035
833,11998.207793000303
834,12238.17194886031
835,12184.722507015453
836,12135.905821472586
837,12107.994606280023
838,12229.074552342823
839,12197.846924094334
840,12191.066788939885
841,12520.091061288791
842,12645.291971901679
843,12728.611586377565
844,12775.023062851524
845,12731.622656938418
846,12811.41077571692
